epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,176.675,0.65945,0.76521,1.01584,0.93757,0.38859,0.42241,0.2938,1.82656,2.49942,1.54585,1.52077e-05,1.52077e-05,1.52077e-05
88,178.61,0.80377,0.86323,1.39157,0.93772,0.38792,0.4214,0.29371,1.80344,2.49593,1.51346,1.43596e-05,1.43596e-05,1.43596e-05
89,180.483,1.07786,1.04153,1.51234,0.93772,0.38792,0.4214,0.29371,1.80344,2.49593,1.51346,1.34879e-05,1.34879e-05,1.34879e-05
90,182.404,0.58294,0.65974,0.97732,0.93772,0.38792,0.4214,0.29371,1.80344,2.49593,1.51346,1.25927e-05,1.25927e-05,1.25927e-05
91,184.335,0.51621,0.52154,0.92526,0.93772,0.38792,0.4214,0.29371,1.80344,2.49593,1.51346,1.16739e-05,1.16739e-05,1.16739e-05
92,186.296,0.67555,0.72084,0.95675,0.94456,0.38803,0.42124,0.29228,1.80717,2.56819,1.50932,1.07315e-05,1.07315e-05,1.07315e-05
93,188.219,0.40469,0.47465,0.95121,0.94456,0.38803,0.42124,0.29228,1.80717,2.56819,1.50932,9.76562e-06,9.76562e-06,9.76562e-06
94,190.151,0.54979,0.52929,0.8898,0.94456,0.38803,0.42124,0.29228,1.80717,2.56819,1.50932,8.77613e-06,8.77613e-06,8.77613e-06
95,192.059,0.42641,0.50356,0.92896,0.94456,0.38803,0.42124,0.29228,1.80717,2.56819,1.50932,7.76308e-06,7.76308e-06,7.76308e-06
96,193.968,0.44831,0.46963,0.97123,0.93932,0.38333,0.41925,0.29052,1.82369,2.61668,1.53927,6.72648e-06,6.72648e-06,6.72648e-06
97,195.874,0.66298,0.69673,1.01934,0.93932,0.38333,0.41925,0.29052,1.82369,2.61668,1.53927,5.6663e-06,5.6663e-06,5.6663e-06
98,197.765,0.48359,0.53227,0.91111,0.93932,0.38333,0.41925,0.29052,1.82369,2.61668,1.53927,4.58257e-06,4.58257e-06,4.58257e-06
99,199.657,0.55581,0.59347,0.95584,0.93932,0.38333,0.41925,0.29052,1.82369,2.61668,1.53927,3.47528e-06,3.47528e-06,3.47528e-06
100,201.601,0.46675,0.50312,0.96486,0.94548,0.38115,0.41932,0.28995,1.80091,2.66015,1.50875,2.34442e-06,2.34442e-06,2.34442e-06
